store_id,partition_date,weekly_sales_amount_vnd,rolling_52w_avg,z_score,anomaly_type,requires_investigation,is_holiday_week,baseline_weeks,has_full_52w_baseline
29,2019-11-22,975268.91,527799.7202380953,12.88102799418935,Positive Anomaly (Spike),False,True,42,False
32,2019-11-22,1634635.86,1107515.7726190477,12.087697896982373,Positive Anomaly (Spike),False,True,42,False
15,2019-11-22,1120018.92,628718.6407142857,11.273459472438597,Positive Anomaly (Spike),False,True,42,False
39,2019-11-22,2149355.2,1309589.8045238096,11.12545803800912,Positive Anomaly (Spike),False,True,42,False
5,2019-11-22,488362.61,298056.5269047619,10.761931814596092,Positive Anomaly (Spike),False,True,42,False
21,2019-11-22,1245628.61,742968.0821428571,10.310267749306783,Positive Anomaly (Spike),False,True,42,False
34,2019-11-22,1309476.68,928637.1621428571,10.020916209766806,Positive Anomaly (Spike),False,True,42,False
13,2019-11-22,2766400.05,1902824.8845238094,9.761324289518868,Positive Anomaly (Spike),False,True,42,False
4,2019-11-22,2789469.45,1914864.93,9.450200328832816,Positive Anomaly (Spike),False,True,42,False
12,2019-11-22,1601377.41,967189.2138095238,9.06056309398884,Positive Anomaly (Spike),False,True,42,False
9,2019-11-22,768070.53,503488.1188095238,9.05158944216004,Positive Anomaly (Spike),False,True,42,False
22,2019-11-22,1564502.26,1010444.5338095238,8.933944680921687,Positive Anomaly (Spike),False,True,42,False
45,2019-12-20,1682862.03,786398.3726086956,8.890968114374454,Positive Anomaly (Spike),True,False,46,False
25,2019-11-22,1115240.61,695346.0397619047,8.673157667486883,Positive Anomaly (Spike),False,True,42,False
19,2019-12-20,2678206.42,1491895.1147826086,8.493444405182888,Positive Anomaly (Spike),True,False,46,False
40,2019-12-20,1648829.18,954287.2182608696,8.335911808683974,Positive Anomaly (Spike),True,False,46,False
45,2019-11-22,1182500.16,761593.6402380952,8.278102862032187,Positive Anomaly (Spike),False,True,42,False
41,2019-11-22,1866681.57,1151471.515,8.217446363686356,Positive Anomaly (Spike),False,True,42,False
34,2019-12-20,1620748.25,948425.1923913043,8.157972130506966,Positive Anomaly (Spike),True,False,46,False
10,2019-11-22,2939946.38,1871458.4833333334,7.992098026551212,Positive Anomaly (Spike),False,True,42,False
13,2019-12-20,3595903.2,1956555.222826087,7.711992589909962,Positive Anomaly (Spike),True,False,46,False
24,2019-12-20,2386015.75,1376000.7052173913,7.705739147441716,Positive Anomaly (Spike),True,False,46,False
31,2019-11-22,1858856.06,1331079.372857143,7.681110972608402,Positive Anomaly (Spike),False,True,42,False
