partition_date,total_weekly_sales
2019-02-01,49750740.5
2019-02-08,48336677.63000001
2019-02-15,48276993.779999994
2019-02-22,43695492.06
2019-03-01,46871470.300000004
2019-03-08,45925396.51000001
2019-03-15,44988974.640000015
2019-03-22,44133961.05000001
2019-03-29,50423831.25999999
2019-04-05,47365290.440000005
2019-04-12,45183667.07999999
2019-04-19,44734452.559999995
2019-04-26,43705126.709999986
2019-05-03,48503243.52000001
2019-05-10,45330080.20000001
2019-05-17,45120108.05999999
2019-05-24,47757502.559999995
2019-05-31,50188543.12
2019-06-07,47826546.72000001
2019-06-14,47092627.59000001
2019-06-21,46609036.29000001
2019-06-28,48917484.5
2019-07-05,47899529.370000005
2019-07-12,46243899.58
2019-07-19,44888849.11
2019-07-26,44630363.42000001
2019-08-02,48204999.120000005
2019-08-09,46464418.41
2019-08-16,47060952.92000002
2019-08-23,45909740.44
2019-08-30,47194257.61000001
2019-09-06,45634397.83999999
2019-09-13,43080726.510000005
2019-09-20,41358514.41
2019-09-27,42239875.870000005
2019-10-04,45102974.23
2019-10-11,43149473.45
2019-10-18,43066669.52
2019-10-25,43602830.94999999
2019-11-01,45781981.88999999
2019-11-08,46124800.83000002
2019-11-15,45125584.17999999
2019-11-22,65821003.23999999
2019-11-29,49909027.88
2019-12-06,55666770.39000001
2019-12-13,61820799.85000001
2019-12-14,529418.64
2019-12-20,80931415.59999998
2019-12-27,40432518.99999999
2020-01-03,42775787.769999996
2020-01-10,40673678.04000001
2020-01-17,40654648.029999994
2020-01-24,39599852.989999995
2020-01-31,46153111.120000005
2020-02-07,47336192.79000001
2020-02-14,48716164.120000005
2020-02-21,44125859.839999996
2020-02-28,46980603.73999999
2020-03-06,44627319.4
2020-03-13,44872325.97
2020-03-20,42876199.18
2020-03-27,43458991.18999998
2020-04-03,45887466.79999999
2020-04-10,44973328.14
2020-04-17,48676692.05999999
2020-04-24,43530032.78000001
2020-05-01,46861958.29
2020-05-08,45446144.82
2020-05-15,44046598.01
2020-05-22,45293457.04
2020-05-29,48771994.18000001
2020-06-05,47669734.660000026
2020-06-12,47447561.77
2020-06-19,45884094.580000006
2020-06-26,47578519.5
2020-07-03,47859263.78000001
2020-07-10,45515929.919999994
2020-07-17,45274411.39
2020-07-24,43683274.28
2020-07-31,48015466.970000006
2020-08-07,46249569.21
2020-08-14,46917347.62
2020-08-21,47416948.44999999
2020-08-28,45376623.27
2020-09-04,46763227.529999994
2020-09-11,43793960.08000002
2020-09-18,42718096.73000002
2020-09-25,42195830.81
2020-10-02,47211688.36
2020-10-09,44374820.29999999
2020-10-16,45818953.44
2020-10-23,45855821.05
2020-10-30,48655544.30000002
2020-11-06,48474224.75
2020-11-13,46438980.559999995
2020-11-20,66593605.25999999
2020-11-27,49390556.49000002
2020-12-04,55561147.699999996
2020-12-11,60085695.93999999
2020-12-18,76998241.31000002
2020-12-25,46042461.040000014
2021-01-01,44955421.949999996
2021-01-08,42023078.48
2021-01-15,42080996.559999995
2021-01-22,39834974.67
2021-01-29,46085608.09000001
2021-02-05,50009407.919999994
2021-02-12,50197056.959999986
2021-02-19,45771506.56999999
2021-02-26,46861034.97000001
2021-03-05,47480454.109999985
2021-03-12,46901504.94
2021-03-19,44201959.080000006
2021-03-26,45272862.019999996
2021-04-02,53502315.86999999
2021-04-09,46629261.41000001
2021-04-16,45072529.779999994
2021-04-23,43716798.89
2021-04-30,47124197.93
2021-05-07,46925878.99
2021-05-14,46823939.220000006
2021-05-21,47892463.31000001
2021-05-28,48281649.720000006
2021-06-04,49651171.779999994
2021-06-11,48412110.7
2021-06-18,47668284.96999999
2021-06-25,46597112.11999999
2021-07-02,51253021.88000001
2021-07-09,46099732.1
2021-07-16,46059543.44999999
2021-07-23,44097154.970000006
2021-07-30,47485899.55999998
2021-08-06,47403451.03999999
2021-08-13,47354452.04999999
2021-08-20,47447323.6
2021-08-27,47159639.42999999
2021-09-03,48330059.309999995
2021-09-10,44226038.64999998
2021-09-17,44354547.11
2021-09-24,43734899.39999998
2021-10-01,47566639.31000001
2021-10-08,46128514.25
2021-10-15,45122410.57000001
2021-10-22,45544116.29000001
